TIME, N1_UZ, N1_AZ, N2_UZ, N2_AZ, N3_UZ, N3_AZ, N4_UZ, N4_AZ
9.1E-02, -2.145627342E-05, 3.201444607E-02, 1.732545994E-06, -2.532277792E-02, -4.382581064E-08, -1.777206331E-02, -3.045396913E-07, 2.625629765E-02
9.2E-02, -2.186518781E-05, -3.659039859E-02, 1.696887538E-06, -1.064905449E-02, -9.867206313E-08, 6.988103539E-03, -2.923667183E-07, 2.819297767E-02
9.3E-02, -2.229077197E-05, 3.249282184E-03, 1.664997775E-06, 1.818648154E-02, -1.357496088E-07, 2.854949443E-02, -2.561388836E-07, 1.991684638E-02
9.4E-02, -2.267710066E-05, 7.526242182E-02, 1.654737571E-06, 2.507313816E-02, -1.414870011E-07, 3.413102713E-02, -2.048636896E-07, 1.017780971E-02
9.5E-02, -2.300617703E-05, 3.924414076E-02, 1.660549559E-06, 7.071369945E-03, -1.16698466E-07, 2.69209338E-02, -1.459959615E-07, 5.007206694E-03
9.6E-02, -2.333242026E-05, -3.35788541E-02, 1.669780874E-06, -2.331029515E-04, -7.196826461E-08, 1.296246192E-02, -8.473046431E-08, -2.116165053E-04
9.7E-02, -2.369153934E-05, -3.217370195E-02, 1.683756434E-06, 9.72154375E-03, -2.220193651E-08, -2.89022351E-03, -2.740898732E-08, -7.676419266E-03
9.8E-02, -2.408162268E-05, -2.975399563E-02, 1.705715003E-06, 6.244858152E-03, 1.972358818E-08, -1.279151598E-02, 2.052570949E-08, -1.109724578E-02
9.9E-02, -2.450316583E-05, -3.316628612E-02, 1.725857464E-06, -9.877138582E-03, 4.823211798E-08, -1.404255788E-02, 5.861074179E-08, -8.602127064E-03
0.1, -2.493869548E-05, 5.192889904E-03, 1.738145016E-06, -5.833116511E-03, 6.240756438E-08, -1.462354306E-02, 8.830652594E-08, -8.176275052E-03
0.101, -2.535655012E-05, 3.015784006E-02, 1.752814774E-06, 1.059765246E-02, 5.972207201E-08, -1.909830265E-02, 1.071037311E-07, -1.362082986E-02
0.102, -2.574551802E-05, 2.761563352E-02, 1.776548403E-06, 7.530450196E-03, 3.790987652E-08, -1.915524415E-02, 1.107060007E-07, -1.676915017E-02
0.103, -2.611424285E-05, 1.287082024E-02, 1.804722686E-06, 1.350579094E-03, 2.396175512E-09, -8.247900477E-03, 1.00442087E-07, -1.096333136E-02
0.104, -2.648849734E-05, -2.392988838E-02, 1.842599378E-06, 1.805394631E-02, -3.448657866E-08, 5.509854553E-03, 8.368012813E-08, -2.032723638E-03
0.105, -2.689391738E-05, -3.840202422E-02, 1.904510565E-06, 3.001544888E-02, -6.297842394E-08, 1.127210193E-02, 6.701216731E-08, 2.220800848E-03
0.106, -2.732876419E-05, -2.045152226E-02, 1.987839307E-06, 1.281998591E-02, -8.113647093E-08, 9.39554778E-03, 5.343047982E-08, 3.951728772E-03
0.107, -2.778759056E-05, -2.750696721E-02, 2.075516122E-06, -4.124163687E-03, -9.233520754E-08, 4.523095048E-03, 4.559484722E-08, 7.540351736E-03
0.108, -2.828839777E-05, -5.645479259E-02, 2.160988413E-06, -2.850822993E-04, -1.028055467E-07, -3.066254576E-03, 4.607338074E-08, 9.088059719E-03
0.109, -2.883288129E-05, -3.089910349E-02, 2.244646591E-06, -3.342780167E-03, -1.202100052E-07, -1.080202509E-02, 5.31640918E-08, 4.136378583E-03
0.11, -2.938139325E-05, 2.284277479E-02, 2.312246271E-06, -2.877401883E-02, -1.485017372E-07, -1.097266891E-02, 6.134862162E-08, -1.948794576E-03
0.111, -2.992119162E-05, -5.414098925E-03, 2.344310841E-06, -4.229668832E-02, -1.839240616E-07, -3.288566294E-03, 6.75138477E-08, -2.089907587E-03
0.112, -3.048077396E-05, -3.415528297E-02, 2.347561015E-06, -1.53326264E-02, -2.202775422E-07, 1.426376738E-03, 7.277050423E-08, 2.727993095E-04
0.113, -3.103808225E-05, 3.870228282E-02, 2.355327765E-06, 2.436597534E-02, -2.562274697E-07, -6.192236773E-04, 7.687861046E-08, -2.569801269E-03
0.114, -3.152602965E-05, 0.100020842, 2.391945086E-06, 3.333573229E-02, -2.914479052E-07, 2.078044376E-03, 7.510348236E-08, -9.196670406E-03
0.115, -3.193663649E-05, 5.46616057E-02, 2.453126716E-06, 1.579298839E-02, -3.180556468E-07, 1.514724694E-02, 6.288937921E-08, -1.168137926E-02
0.116, -3.232480406E-05, -9.783899856E-03, 2.524595117E-06, 4.780290538E-03, -3.241926465E-07, 2.579439132E-02, 4.101158949E-08, -7.646057684E-03
0.117, -3.272728741E-05, -1.884822749E-02, 2.598320014E-06, -2.671886557E-04, -3.052609765E-07, 2.434309603E-02, 1.47435054E-08, -1.134529822E-03
0.118, -3.315638572E-05, -3.438096308E-02, 2.661966208E-06, -1.988996257E-02, -2.650864883E-07, 1.814251297E-02, -9.313663467E-09, 5.556354632E-03
0.119, -3.362524905E-05, -4.514990496E-02, 2.697489257E-06, -3.635665413E-02, -2.100215572E-07, 1.163840716E-02, -2.413054005E-08, 1.292421871E-02
0.12, -3.412507112E-05, -1.676773741E-02, 2.702985216E-06, -2.369792784E-02, -1.503366402E-07, -2.398282489E-03, -2.339775612E-08, 1.817516571E-02
0.121, -3.463434394E-05, -2.13325894E-03, 2.694163532E-06, -4.937117125E-03, -1.015504262E-07, -1.939920009E-02, -5.694796499E-09, 1.576531316E-02
0.122, -3.514322083E-05, 2.924879487E-03, 2.680137032E-06, -5.47227231E-03, -7.272164853E-08, -2.051599069E-02, 2.252850592E-08, 5.275447493E-03
0.123, -3.564192235E-05, 1.74258539E-02, 2.66179303E-06, -3.163039586E-03, -5.730868517E-08, -6.315705088E-03, 4.97847629E-08, -7.209562563E-03
0.124, -3.612650091E-05, 1.082057543E-02, 2.650421473E-06, 1.710778638E-02, -4.527718985E-08, -4.469589984E-04, 6.516976769E-08, -1.653299636E-02
0.125, -3.660765964E-05, -3.981211019E-03, 2.661047387E-06, 2.688755757E-02, -3.798070533E-08, -9.022971678E-03, 6.125981969E-08, -2.20569498E-02
0.126, -3.70872621E-05, 7.093405558E-03, 2.692054987E-06, 1.387598467E-02, -4.087898973E-08, -1.136680954E-02, 3.462575864E-08, -2.339134025E-02
0.127, -3.756939145E-05, -1.214608431E-02, 2.733105602E-06, 6.209743345E-03, -4.927220848E-08, 3.768307288E-04, -1.279342609E-08, -1.817900647E-02
0.128, -3.808529297E-05, -5.539873643E-02, 2.782717052E-06, 1.091191747E-02, -5.322346792E-08, 8.507285249E-03, -7.241181418E-08, -6.219469865E-03
0.129, -3.864611139E-05, -3.443619028E-02, 2.837850685E-06, 1.3284061E-04, -5.079811362E-08, 4.246055489E-03, -1.310898747E-07, 8.100134798E-03
0.13, -3.922466023E-05, -1.023859623E-03, 2.879024175E-06, -2.805308069E-02, -4.626434514E-08, -2.933779584E-05, -1.760309792E-07, 1.937384315E-02
0.131, -3.981720591E-05, -2.69691161E-02, 2.887931763E-06, -3.647925606E-02, -4.187987311E-08, -2.692464975E-04, -1.988582069E-07, 2.485398924E-02
0.132, -4.044225853E-05, -3.804583723E-02, 2.875069819E-06, -7.060222878E-03, -4.128419962E-08, -7.308190733E-03, -1.972734606E-07, 2.397003891E-02
0.133, -4.10648807E-05, 4.290550037E-02, 2.87382437E-06, 3.029342293E-02, -5.263094987E-08, -1.657675824E-02, -1.752308109E-07, 1.694584127E-02
0.134, -4.161138795E-05, 0.109325925, 2.909054444E-06, 4.265803603E-02, -7.662341023E-08, -8.714986514E-03, -1.415995635E-07, 6.231373693E-03
0.135, -4.206523351E-05, 7.599839115E-02, 2.983164189E-06, 3.510139606E-02, -9.895668444E-08, 1.203335795E-02, -1.060580533E-07, -2.410918463E-03
0.136, -4.246185753E-05, 3.8443869E-02, 3.086815661E-06, 2.398205613E-02, -1.05723193E-07, 1.910051287E-02, -7.365166314E-08, -3.859430878E-03
0.137, -4.283489841E-05, 8.72299541E-03, 3.203682391E-06, 2.448717816E-03, -9.871160549E-08, 8.455784871E-03, -4.230949731E-08, 1.730915075E-03
