TIME, N5_UZ, N5_AZ, N6_UZ, N6_AZ, N7_UZ, N7_AZ
8.6E-02, -1.106314744E-06, 4.586471819E-02, 1.436261882E-07, 4.558500591E-03, 1.132072726E-06, -0.166369445
8.7E-02, -1.390364334E-06, 7.09198312E-02, 4.334317206E-07, -6.751726408E-03, 7.81084956E-07, -0.140955416
8.8E-02, -1.600684852E-06, 7.653860278E-02, 7.094112075E-07, -2.09003264E-02, 3.149957117E-07, -8.92478229E-02
8.9E-02, -1.734339227E-06, 7.679353208E-02, 9.541712363E-07, -4.153846656E-02, -2.062324436E-07, -2.103012375E-02
9.E-02, -1.783000466E-06, 9.319248654E-02, 1.143956895E-06, -6.841024046E-02, -7.128989905E-07, 5.015338922E-02
9.1E-02, -1.730046212E-06, 0.110038737, 1.256732144E-06, -8.561085042E-02, -1.13872457E-06, 0.11152874
9.2E-02, -1.572000395E-06, 0.100144819, 1.288521763E-06, -7.636079736E-02, -1.432419164E-06, 0.152733539
9.3E-02, -1.327283176E-06, 7.31979863E-02, 1.257548647E-06, -4.916473724E-02, -1.565736178E-06, 0.168021962
9.4E-02, -1.018373326E-06, 5.518705206E-02, 1.186560527E-06, -3.086498879E-02, -1.535368828E-06, 0.159347026
9.5E-02, -6.607835316E-07, 4.217293316E-02, 1.084057875E-06, -3.216386559E-02, -1.357995402E-06, 0.134665267
9.6E-02, -2.733389908E-07, 1.75367542E-02, 9.448272235E-07, -4.129214479E-02, -1.06257359E-06, 0.101431579
9.7E-02, 1.18625799E-07, -8.496413301E-03, 7.586893257E-07, -5.252228555E-02, -6.84856515E-07, 6.315899896E-02
9.8E-02, 4.961783633E-07, -2.032823497E-02, 5.101003258E-07, -7.237976535E-02, -2.643704118E-07, 2.237906885E-02
9.9E-02, 8.470674413E-07, -3.299852347E-02, 1.798975294E-07, -9.084801218E-02, 1.588496209E-07, -1.691125688E-02
0.1, 1.149970721E-06, -6.297285415E-02, -2.348414127E-07, -7.822486819E-02, 5.476186683E-07, -5.199077187E-02
0.101, 1.376653149E-06, -8.946915079E-02, -7.020902596E-07, -2.67953247E-02, 8.691123214E-07, -8.256007129E-02
0.102, 1.514970815E-06, -8.726078821E-02, -1.166089002E-06, 3.329569479E-02, 1.096343049E-06, -0.105965904
0.103, 1.574492524E-06, -7.033108421E-02, -1.574633387E-06, 7.761325344E-02, 1.212911706E-06, -0.115358462
0.104, 1.567728923E-06, -6.223935764E-02, -1.886618052E-06, 0.115506117, 1.218340622E-06, -0.10692124
0.105, 1.503690388E-06, -5.231072837E-02, -2.063588524E-06, 0.154522309, 1.127392456E-06, -8.583302282E-02
0.106, 1.401552722E-06, -2.388777834E-02, -2.077181406E-06, 0.172233359, 9.632204293E-07, -6.061470544E-02
0.107, 1.288636379E-06, 2.330717349E-03, -1.928022567E-06, 0.153270513, 7.511760306E-07, -3.513003808E-02
0.108, 1.175688871E-06, -2.392568104E-03, -1.640736477E-06, 0.122983849, 5.160469715E-07, -1.103924847E-02
